Entity,Code,Year,Executions,Meningitis ,Alzheimer's disease and other dementias ,Parkinson's disease,Nutritional deficiencies ,Malaria,Drowning,Interpersonal violence ,Maternal disorders,HIV/AIDS ,Drug use disorders,Tuberculosis,Cardiovascular diseases, Lower respiratory infections ,Neonatal disorders ,Alcohol use disorders ,Self-harm ,Exposure to forces of nature ,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism ,Diabetes mellitus,Chronic kidney disease ,Poisonings,Protein-energy malnutrition,Terrorism,Road injuries ,Chronic respiratory diseases, Cirrhosis and other chronic liver diseases ,Digestive diseases,"Fire, heat, and hot substances ",Acute hepatitis
Australia,AUS,1990,,99,3669,880,77,0,295,380,19,379,458,99,51230,1823,872,270,2342,16,38,40,31401,2,2198,1712,47,47,,2739,6966,1394,3944,147,6
Australia,AUS,1991,,96,3820,909,79,0,282,360,14,433,485,97,50532,1826,812,272,2362,14,43,40,31902,4,2273,1743,47,49,0,2543,7006,1386,3911,175,6
Australia,AUS,1992,,97,3984,957,84,0,281,330,15,479,535,97,50979,1895,815,277,2391,10,49,41,32785,2,2397,1804,45,52,1,2420,7235,1392,3926,149,7
Australia,AUS,1993,,86,4149,998,89,0,271,337,20,568,582,95,50717,1924,746,287,2376,3,57,56,33430,0,2497,1863,46,58,,2296,7312,1387,3907,145,7
Australia,AUS,1994,,86,4342,1056,97,0,269,344,24,558,660,94,51468,2043,719,297,2468,1,64,57,34419,6,2640,1946,47,64,3,2255,7523,1415,3971,178,7
Australia,AUS,1995,,84,4533,1098,101,0,263,327,23,521,741,92,51085,2136,694,314,2533,5,70,53,34883,0,2705,1998,50,68,0,2220,7544,1414,3974,147,8
Australia,AUS,1996,,84,4761,1156,106,0,262,337,18,489,790,91,51248,2323,684,324,2600,23,75,44,35577,2,2829,2103,51,73,2,2182,7702,1437,4032,164,8
Australia,AUS,1997,,83,4968,1202,109,0,263,333,22,242,868,86,50598,2638,662,347,2679,40,73,42,35937,0,2870,2156,50,78,0,2137,7671,1443,4069,142,9
Australia,AUS,1998,,83,5176,1246,116,0,258,344,15,194,937,86,49849,2547,649,372,2719,7,73,38,36234,0,2902,2240,53,84,0,2121,7609,1432,4085,138,10
Australia,AUS,1999,,82,5399,1296,121,0,255,337,26,172,955,85,49132,2620,674,400,2667,12,78,36,36561,0,2949,2324,54,90,,2092,7578,1425,4140,136,10
Australia,AUS,2000,,79,5658,1354,124,0,243,340,17,162,896,82,48690,2838,651,412,2584,3,80,37,37009,1,3030,2405,55,94,0,2050,7587,1437,4219,143,10
Australia,AUS,2001,,78,5935,1417,125,0,233,338,17,146,782,84,48397,2940,640,418,2502,4,87,34,37485,4,3134,2502,49,97,0,1973,7608,1466,4307,122,10
Australia,AUS,2002,,75,6213,1494,132,0,225,324,17,133,752,81,48557,3097,632,431,2449,1,97,35,38098,0,3292,2632,50,102,,1930,7743,1532,4482,160,11
Australia,AUS,2003,,73,6470,1552,134,0,216,304,13,134,767,78,47950,3181,620,442,2426,3,106,38,37909,0,3419,2718,54,104,,1890,7735,1581,4581,144,11
Australia,AUS,2004,,70,6690,1582,137,0,210,250,15,145,783,77,46587,3113,621,443,2381,3,117,42,39058,0,3475,2777,51,108,,1828,7605,1584,4599,121,11
Australia,AUS,2005,,55,6954,1614,137,0,205,254,14,117,805,73,45600,2998,651,454,2358,4,123,42,39704,0,3532,2884,49,106,,1784,7538,1600,4648,127,11
Australia,AUS,2006,,53,7268,1668,137,0,202,308,18,132,787,76,45433,2938,658,467,2370,4,136,44,40546,0,3648,3065,48,106,0,1755,7660,1623,4750,113,11
Australia,AUS,2007,,51,7568,1742,138,0,204,300,14,123,757,78,45949,2910,652,483,2465,5,148,46,41904,0,3820,3298,48,107,,1752,7969,1687,4945,114,11
Australia,AUS,2008,,50,7836,1809,138,0,206,327,12,95,720,80,46128,2828,648,496,2556,5,156,46,43049,0,3934,3487,49,108,0,1739,8245,1742,5099,115,12
Australia,AUS,2009,,49,8064,1837,137,0,207,339,18,101,693,80,45219,2803,649,503,2610,6,167,77,43523,2,3942,3608,48,107,0,1711,8342,1780,5186,266,12
Australia,AUS,2010,,49,8346,1882,139,0,206,326,19,83,700,79,44759,2911,638,510,2667,5,179,43,44010,10,3906,3699,47,110,0,1665,8566,1823,5303,108,11
Australia,AUS,2011,,48,8687,1948,138,0,197,311,19,103,738,80,44991,3055,608,511,2687,34,197,41,44902,11,3900,3862,46,110,,1617,8894,1866,5457,126,11
Australia,AUS,2012,,48,8948,1983,136,0,193,318,19,74,766,77,44416,3192,575,514,2716,8,207,38,45387,1,3803,4016,44,111,,1568,9104,1888,5546,104,10
Australia,AUS,2013,,45,9215,2020,134,0,195,304,11,69,813,80,44255,3306,572,522,2775,4,206,36,46192,0,3657,4210,41,110,0,1515,9354,1967,5699,102,10
Australia,AUS,2014,,45,9526,2085,141,0,196,312,13,67,887,82,45146,3530,537,536,2907,5,213,51,47417,4,3653,4450,41,116,4,1523,9773,2057,5913,102,10
Australia,AUS,2015,,46,9848,2150,145,0,198,318,12,64,954,85,46230,3763,542,553,3010,9,218,34,48482,3,3720,4682,41,120,2,1549,10163,2135,6126,103,10
Australia,AUS,2016,,44,10134,2178,150,0,196,300,14,71,1002,85,46468,3925,529,568,2927,9,219,33,48970,1,3729,4787,40,125,0,1545,10319,2125,6185,102,9
Australia,AUS,2017,,45,10420,2237,154,0,195,315,13,71,1039,88,47986,4011,511,575,2857,12,220,35,50188,0,3862,4867,41,127,4,1558,10524,2135,6278,104,9
Australia,AUS,2018,,46,10804,2331,159,0,196,320,13,71,1086,92,50065,4158,496,583,2876,0,225,36,52196,2,4071,5061,42,132,,1584,10926,2187,6489,107,10
Australia,AUS,2019,,46,11240,2403,164,0,196,322,13,71,1128,95,51615,4269,487,590,2898,4,228,37,53700,0,4239,5207,43,136,,1595,11203,2215,6632,109,10
